Author,Paper Title,Research Goal,Research Goal Description,Research Approach,Supplementary Material,Supplementary Material Description,Supplementary Material Link
Habibullah et al. (2023),Requirements Engineering for Automotive Perception Systems: an Interview Study ,RE Practice and Challenges,Identify requirements engineering topics and challenges in the domain of driving automation systems.,Evaluation research,Interview & Survey Data,The interview guide,https://doi.org/10.7910/DVN/HCMVL1
Hu et al. (2020),Towards Requirements Specification for Machine-learned Perception Based on Human Performance,Proposal or Improvement of RE Approach,Propose an approach for specifying and testing requirements for robustness based on human perception.,Proposal of solution,Datasets & Code,Berkeley DeepDrive A set of Images,http://bdd-data.berkeley.edu
Villamizar et al. (2022),Towards Perspective-Based Specification of Machine Learning-Enabled Systems,Proposal or Improvement of RE Approach,Define a perspective-based approach for specifying ML-enabled systems.,Proposal of solution,Guides & Ontologies,Requirements Specification Template,https://zenodo.org/record/6643530
Hu et al. (2022),"If a Human Can See It, So Should Your System: Reliability Requirements for Machine Vision Components",Requirements Analysis and Validation,Address the need for defining machine-verifiable reliability requirements for MVCs against transformations that simulate the full range of realistic and safety-critical changes in the environment.,Validation research,Tools,Implementation of the tool-supported method,https://carolineeeeeee.github.io/automating_requirements
Vogelsang et al. (2019),Requirements Engineering for Machine Learning: Perspectives from Data Scientists,RE Practice and Challenges,Define characteristics and challenges unique to Requirements Engineering (RE) for ML-based systems,Evaluation research,Interview & Survey Data,Interview guide,https://doi.org/10.6084/m9.figshare.8067593.v1
Sadeghi et al. (2021),Cases for Explainable Software Systems: Characteristics and Examples,Proposal or Improvement of RE Approach,Present a taxonomy structuring needs for an explanation according to different reasons,Proposal of solution,Guides & Ontologies,Taxonomy of explainability cases,https://github.com/mersedehSa/ExplanationCases
Habibullah et al. (2021),Non-functional Requirements for Machine Learning: Understanding Current Use and Challenges in Industry,RE Practice and Challenges,Understand the state-of-the-art and challenges of dealing with NFRs for ML in industry,Evaluation research,Interview & Survey Data,Interview transcripts and codes,https://tinyurl.com/6d96vesb
Heyn et al. (2023),An Investigation of Challenges Encountered When Specifying Training Data and Runtime Monitors for Safety Critical ML Applications.,RE Practice and Challenges,Highlight current challenges experienced by prac- titioners in specifying training data and runtime monitoring for ML in safety critical software,Evaluation research,Interview & Survey Data,Interview guide,https://doi.org/10.7910/DVN/WJ8TKY
J. et al. (2023),Human Value Requirements in AI Systems: Empirical Analysis of Amazon Alexa,Requirements Analysis and Validation,Explore human value requirements from the end-users’ feedback for an AI system,Evaluation research,Datasets & Code,Dataset of user reviews for Alexa App,https://doi.org/10.5281/zenodo.7347647
Dąbrowski et al. (2022),Mining User Feedback For Software Engineering: Use Cases and Reference Architecture,Proposal or Improvement of RE Approach,To elaborate a description of SE use cases for mining app reviews and to define a reference architecture that realizes these use cases.,Proposal of solution,Guides & Ontologies,Conceptual models/diagrams,https://doi.org/10.5281/zenodo.6587502
M. et al. (2022),"A multi-level semantic web for hard-to-specify domain concept, Pedestrian, in ML-based software",Proposal or Improvement of RE Approach,Proposed a semi-automated approach to formally specify the domain concepts in the form of a semantic web.,Validation research,Datasets & Code,"Generated semantic web, Visualisation tool for concepts and their relations, YOLO tool, Microsoft Common Objects in Context, Open Image Dataset, Caltech, CityPersons, EuroCity Persons, CrowdHuman, WiderPerson","https://github.com/REJournal2021, http://vowl.visualdataweb.org/webvowl.html, https://opencv-tutorial.readthedocs.io/en/latest/yolo/yolo.html, https://cocodataset.org, https://storage.googleapis.com/openimages/web/index.html, https://data.caltech.edu/records/nyy15-4j048, https://paperswithcode.com/dataset/citypersons, https://eurocity-dataset.tudelft.nl, https://www.crowdhuman.org, http://www.cbsr.ia.ac.cn/users/sfzhang/WiderPerson/"
Droste et al. (2024),Explanations in Everyday Software Systems: Towards a Taxonomy for Explainability Needs,Proposal or Improvement of RE Approach,"Create a taxonomy to help software engineers and analysts specify explainability requirements, making systems more understandable, transparent, and user-friendly",Evaluation research,Interview & Survey Data,"Questionnaire, coding guidelines and coding results, coding software MAXQDA2","https://figshare.com/s/4991cdf38f765e8c9906, https://www.maxqda.com"
S. et al. (2024),An empirical investigation of challenges of specifying training data and runtime monitors for critical software with machine learning and their relation to architectural decisions,RE Practice and Challenges,Identify challenges in specifying requirements for training data and runtime monitoring in ML-based critical software and their relation to architectural decisions,Evaluation research,Interview & Survey Data,"Interview data, survey results, and mappings of challenges to architectural views for ML systems.",https://www.vedliot.eu
P.J. et al. (2024),Requirements and software engineering for automotive perception systems: an interview study,RE Practice and Challenges,"Explore the topics and challenges related to requirements engineering, quality, systems and software engineering for ML-enabled automotive perception systems.",Evaluation research,Interview & Survey Data,Interview guide,https://doi.org/10.7910/DVN/HCMVL1
H. et al. (2022),Improving Generalizability of ML-enabled Software through Domain Specification,Proposal or Improvement of RE Approach,Improve machine learning software generalizability by incorporating domain-specific semantic knowledge into training datasets,Validation research,Datasets & Code,"Extracted pedestrian-related terms, partial specifications, object detection results, code scripts and resources for dataset augmentation and evaluation",https://github.com/SEFORAI/MLClassifiers
S.-W. et al. (2022),Are We Training with The Right Data? Evaluating Collective Confidence in Training Data using Dempster Shafer Theory,Proposal or Improvement of RE Approach,Evaluate collective confidence in the quality of training datasets for machine learning models using Dempster-Shafer theory.,Validation research,Guides & Ontologies,"Guidelines, results, rationales and suggestions for improvement",https://doi.org/10.5281/zenodo.5954347
Kästner et al. (2020),Teaching software engineering for AI-enabled systems,Proposal or Improvement of RE Approach,Design and teach a software engineering course that equips students with the necessary skills to build and maintain AI-enabled systems.,Experience paper,Guides & Ontologies,Course materials and technical simulation infrastructure,https://github.com/ckaestne/seai/
F. et al. (2024),ReFAIR: Toward a Context-Aware Recommender for Fairness Requirements Engineering,Proposal or Improvement of RE Approach,Propose an automated RE framework that supports fairness in MLS by identifying and recommending sensitive features early in the development lifecycle.,Validation research,Tools,"ReFair tool implementation, dataset, scripts, and technical report",https://zenodo.org/records/10470916
M. et al. (2023),DecompoVision: Reliability Analysis of Machine Vision Components through Decomposition and Reuse,Proposal or Improvement of RE Approach,"Propose a modular framework, DecompoVision, for analyzing the reliability of Machine Vision Components.",Validation research,Tools,"Replication package includes: Tool-supported DecompoVision framework, Metric Decomposition, Experiments to collect human performance data",https://reliability-object-detection.netlify.app
D. et al. (2024),Identifying concerns when specifying machine learning-enabled systems: A perspective-based approach,Proposal or Improvement of RE Approach,"Develop and validate PerSpecML, a perspective-based approach for specifying machine learning ML-enabled systems.",Validation research,Guides & Ontologies,PerSpecML conceptual artifacts and templates,https://miro.com/miroverse/perspecml-machine-learning
Nahar et al. (2022),"Collaboration Challenges in Building ML-Enabled Systems: Communication, Documentation, Engineering, and Process",RE Practice and Challenges,Explore how data scientists and software engineers work together to build the system with ML and non-ML components,Evaluation research,Interview & Survey Data,"Interview guide, codebook, study details",https://arxiv.org/abs/2110.10234
Wan et al. (2021),How does Machine Learning Change Software Development Practices?,RE Practice and Challenges,Explore how incorporating machine learning impacts software development practices and work characteristics,Evaluation research,Interview & Survey Data,"Participant Information Sheet, Consent Form and Questionnaire",https://drive.google.com/file/d/124ttMmqSXglilEUuevAMP85jvP4uyVoc
Ferrara et al. (2024),Fairness-aware machine learning engineering: how far are we?,RE Practice and Challenges,Understand practitioners' perspectives on software fairness in ML-intensive systems to inform future research.,Evaluation research,Interview & Survey Data,"survey data, analysis scripts, and documentation",https://doi.org/10.6084/m9.figshare.21680519
T. et al. (2022),"Quo Vadis, Explainability? – A Research Roadmap for Explainability Engineering",RE4ML Research Direction,Develop a research roadmap to enhance software and RE methods for creating explainable systems,Philosophical paper,Guides & Ontologies,Mind map of research questions,https://zenodo.org/records/5902181
Chazette et al. (2020),Explainability as a non-functional requirement: challenges and recommendations,Requirements Analysis and Validation,Explore end-users’ perspectives about the need for explanations in software systems to NFRs are impacted by explanations and how they relate to software transparency.,Evaluation research,Interview & Survey Data,"Survey raw data, survey questions, analyzed data, and instructions for coded data",https://zenodo.org/records/3366062
Alves et al. (2023),Status Quo and Problems of Requirements Engineering for Machine Learning: Results from an International Survey,RE Practice and Challenges,Characterize the current practices and problems experienced by practitioners in the requirements life MLS projects.,Evaluation research,Interview & Survey Data,"Survey, collected data collected, Jupyter Notebooks for analysis",https://zenodo.org/records/8248333
J. et al. (2023),Exploring Requirements for Software that Learns: A Research Preview,Proposal or Improvement of RE Approach,Identify unique characteristics of software requirements that are specific to ML components.,Proposal of Solution,Tools,NASA’s Formal Requirements Elicitation Tool.,https://github.com/NASA-SW-VnV/fret
J. et al. (2022),Law Modeling for Fairness Requirements Elicitation in Artificial Intelligence Systems,Proposal or Improvement of RE Approach,Propose a framework that considers the project context together with law modeling to identify protected attributes that threaten the fairness of AI models.,Proposal of Solution,Datasets & Code,experiment code scrpts and dataset demonstating the framework for fairness,https://gitlab.com/lucentia/bias-in-ai/-/tree/main/ER2022
J. et al. (2022),Use of a i*extension for Machine Learning: a real case study,Use or Adaptation of RE4ML,"Apply the i* for ML extension to a real case study, in the context of  the diagnosis and treatment of Attention-Deficit/Hyperactivity Disorder.",Proposal of Solution,Datasets & Code,EEG data for the study is available.,https://ieee-dataport.org/open-access/eeg-data-adhd-control-children
Ries et al. (2021),An MDE Method for Improving Deep Learning Dataset Requirements Engineering using Alloy and UML,Use or Adaptation of RE4ML,Define a model-driven engineering (MDE) method to improve datasets RE for deep learning (DL)-based systems using traditional RE approaches.,Proposal of Solution,Guides & Ontologies,Dataset Requirements Concept Model Editor and Case Study,https://zenodo.org/records/4020938
Serban et al. (2021),Practices for Engineering Trustworthy Machine Learning Applications,RE Practice and Challenges,Translate high-level guidelines for trustworthy ML into actionable operational practices integrated into the ML development lifecycle.,Evaluation research,Guides & Ontologies,Catalogue and curated reading list for trustworthy ML practices,https://se-ml.github.io/practices/
K. et al. (2024),How Explainable Is Your System? Towards a Quality Model for Explainability,Proposal or Improvement of RE Approach,"Create a user-centered quality model for explainability, outlining key aspects of explainable systems and metrics to evaluate their explainability.",Proposal of Solution,Guides & Ontologies,"Supplementary material for literature search indicating the origins of aspects, criteria, and metrics",https://doi.org/10.5281/zenodo.10640067
C. et al. (2024),Documentation of Non-Functional Requirements for Systems with Machine Learning Components,RE Practice and Challenges,Identify key NFRs for ML systems and create a template for consistent documentation to improve requirements completeness.,Evaluation research,Guides & Ontologies,"NFR examples, study data, survey/interview questions, templates, and study selection details",https://zenodo.org/records/10818889
B.S. et al. (2023),Requirements analysis for an AI-based clinical decision support system for general practitioners: a user-centered design process,Requirements Analysis and Validation,Analyse requirements for an AI‑based clinical decision support system.,Evaluation research,Interview & Survey Data,"Interview guide, User requirements list and Persona",https://doi.org/10.1186/s12911-023-02245-w
J. et al. (2023),Requirements practices and gaps when engineering human-centered Artificial Intelligence systems,RE Practice and Challenges,Understand current industry practices in RE4AI,Evaluation research,Interview & Survey Data,Survey Questions,https://zenodo.org/records/7735362
E.D. et al. (2022),Guide for Artificial Intelligence Ethical Requirements Elicitation - RE4AI Ethical Guide,Proposal or Improvement of RE Approach,Develop a Guide for Artificial Intelligence Ethical Requirements Elicitation,Evaluation research,Tools,"Tool-supported Web-based Guide: RE4AI Ethical Guide, Source Code","https://zenodo.org/records/5520174, https://josesiqueira.github.io/RE4AIEthicalGuide/index.html, https://github.com/josesiqueira/RE4AIEthicalGuide"
J. et al. (2022),Case-Study-Based Requirements Analysis of Manufacturing Companies for Auto-ML Solutions,RE Practice and Challenges,Elaborate a list of requirements that companies should consider when selecting automated ML solutions for their use case.,Evaluation research,Guides & Ontologies,List of requirements for Auto-ML solutions,https://github.com/BenningJustus/APMS-Longlist/
J. et al. (2021),Trustworthiness Requirements: The Pix Case Study,Proposal or Improvement of RE Approach,Propose the Ontology-based Requirements Engineering method for eliciting and analyzing trustworthiness requirements.,Evaluation research,Guides & Ontologies,A Reference Ontology of Trustworthiness Requirements,https://purl.org/krdb-core/trustworthiness-requirements-ontology
Ishikawa et al. (2019),How Do Engineers Perceive Difficulties in Engineering of Machine-Learning Systems? - Questionnaire Survey,RE Practice and Challenges,Understand the challenges engineers face when building machine learning (ML) systems.,Evaluation research,Interview & Survey Data,Statistics of the questionnaire survey.,https://sites.google.com/view/sig-mlse/
Anisetti et al. (2020),A Methodology for Non-Functional Property Evaluation of Machine Learning Models,Proposal or Improvement of RE Approach,Propose methodology for evaluating non-functional properties of ML models.,Evaluation research,Datasets & Code,Scripts for the methodology and experimental evaluation,https://bit.ly/3jCZ3KZ
Correia et al. (2021),Brazilian Data Scientists: Revealing their Challenges and Practices on Machine Learning Model Development,RE Practice and Challenges,Explore challenges and practices addressing the engineering of ML models.,Evaluation research,Interview & Survey Data,"Interview protocol, transcription, participant background",https://github.com/sbqs2020/sbqs2020
Jahic et al. (2023),SEMKIS-DSL: A Domain-Specific Language to Support Requirements Engineering of Datasets and Neural Network Recognition,Proposal or Improvement of RE Approach,Facilitate RE in neural network-based systems for dataset and recognition capabilities using a domain-specific language.,Validation research,Tools,SEMKIS-DSL toolkit,https://github.com/Benji91/lu.uni.lassy.phdthesis.semkis.toolkit.experimentations
R.F. et al. (2024),A Qualitative Study on Requirements Engineering Practices in an Artificial Intelligence Unit of the Brazilian Industrial Research and Innovation Company,RE Practice and Challenges,Understand how requirements engineering is done in AI and machine learning projects at a Brazilian research center.,Evaluation research,Interview & Survey Data,Interview guide and dataset repository,https://zenodo.org/records/10580470
J. et al. (2024),A Framework for Managing Quality Requirements for Machine Learning-Based Software Systems,Proposal or Improvement of RE Approach,"Propose framework for identifying, prioritizing, specifying, and measuring attainment of NFRs for ML systems",Evaluation research,Interview & Survey Data,Interview guide and presentation used in evaluation study,https://doi.org/10.7910/DVN/QUPD8D
S. et al. (2025),How do ML practitioners perceive explainability? an interview study of practices and challenges,RE Practice and Challenges,"Understand how ML practitioners handle explainability, including their views, methods, challenges, and trade-offs.",Evaluation research,Interview & Survey Data,"Supplementary materials for interview e.g., interview guide",https://doi.org/10.7910/DVN/HCMVL1
J. et al. (2025),Requirements Representations in Machine Learning-Based Automotive Perception Systems Development for Multi-party Collaboration,RE Practice and Challenges,Understand how requirements are written and shared when organizations work together to build ML perception systems.,Evaluation research,Interview & Survey Data,"Categories, themes from data coding, interview guide",https://doi.org/10.7910/DVN/R3FOXG
Vonderhaar et al. (2025),Generating and Verifying Synthetic Datasets with Requirements Engineering,Proposal or Improvement of RE Approach,"Use RE to guide and check synthetic image generation, so ML models can be trained with more reliably and with more trust.",Validation research,Datasets & Code,"Generated images, full results table, and full data card",https://github.com/lynndalou/SyntheticDataVerification
Vogelsang et al. (2025),"On the Impact of Requirements Smells in Prompts: The Case of Automated Traceability
",Proposal or Improvement of RE Approach,Assess the impact of requirements smells in prompts on downstream SE tasks.,Validation research,Guides & Ontologies,Material including prompt templates and model summaries,https://doi.org/10.6084/m9.figshare.27153441